,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0,4,0,0,4,1,1,1,4,2,0,3,4,0,0,2,3,4,0,3,4,3,0,2,2,1,4,2
1,3,3,4,1,2,4,2,0,3,2,3,3,1,0,0,2,0,4,2,1,2,2,4,2,0,3,4,2
2,1,4,2,0,2,1,2,11,56,11,2,1,2,4,1,1,3,4,2,2,0,2,4,0,3,4,0,4
3,0,2,1,4,4,4,2,21,123,81,14,0,1,2,0,3,2,1,2,1,2,4,3,4,2,2,0,4
4,4,0,0,2,1,0,3,18,126,108,22,4,0,2,4,2,3,3,1,3,2,1,3,3,4,4,2,2
5,3,2,4,0,1,3,4,18,126,111,22,3,1,2,3,1,3,0,2,2,3,4,4,0,2,3,0,1
6,1,2,4,0,3,3,3,22,129,113,35,0,2,4,1,1,3,0,3,3,0,3,3,2,4,1,3,4
7,0,1,4,3,3,1,3,22,133,157,101,2,3,0,1,3,1,2,4,1,3,3,2,1,4,2,0,1
8,2,1,0,4,1,0,4,25,143,192,130,3,0,1,0,2,2,3,0,3,3,3,3,0,0,2,2,0
9,4,0,4,2,4,1,4,44,189,234,147,4,0,3,4,1,1,1,2,0,2,2,0,1,2,0,2,4
10,0,4,3,3,3,4,1,102,236,253,183,3,4,3,1,3,2,3,2,3,3,3,4,1,3,2,3,0
11,3,2,0,2,4,3,1,129,248,255,186,1,4,92,22,4,3,1,1,0,2,1,1,1,3,2,4,3
12,0,2,1,1,3,0,2,146,251,238,146,35,35,74,63,25,3,2,0,0,1,4,2,3,0,4,4,1
13,4,3,1,3,0,3,1,143,239,174,137,125,129,130,129,119,69,6,2,2,1,4,2,1,2,0,3,4
14,1,0,1,2,2,1,4,136,213,147,133,131,128,130,126,127,122,48,6,4,4,0,3,2,3,2,3,4
15,0,3,4,1,3,4,1,129,192,130,130,110,73,41,46,86,116,113,34,10,4,1,4,2,1,0,3,3
16,4,3,1,3,2,3,2,105,167,130,115,42,5,4,2,15,48,114,111,88,3,3,3,3,2,2,1,0
17,2,4,0,4,4,1,3,89,154,125,72,1,2,2,3,0,5,74,141,170,117,1,1,2,2,0,0,1
18,1,3,2,2,1,0,129,125,148,125,63,3,1,2,4,0,1,59,144,235,184,113,2,3,3,3,2,3
19,3,0,3,1,1,0,136,175,177,132,53,1,1,4,1,3,4,2,129,197,192,67,4,1,1,1,4,2
20,1,2,4,4,1,4,145,212,218,164,92,26,0,2,1,1,4,4,130,174,220,84,1,0,0,1,4,2
21,0,1,2,3,0,1,132,199,255,249,227,155,131,127,2,129,2,0,104,79,146,69,3,2,1,0,4,3
22,0,3,2,2,0,0,119,192,255,253,254,242,216,190,157,160,142,103,90,99,130,65,2,1,4,2,2,3
23,4,1,4,2,0,4,0,128,238,239,236,250,245,240,228,211,168,140,133,129,123,58,0,1,2,4,2,0
24,2,2,0,0,1,0,3,35,100,88,83,144,151,147,142,139,130,129,129,124,81,18,3,4,3,1,4,3
25,2,4,4,2,1,2,0,1,1,0,4,22,17,22,45,59,64,60,28,18,4,4,1,0,3,0,0,1
26,3,1,4,4,1,1,0,2,0,0,0,3,1,1,2,5,4,2,3,0,0,0,0,4,3,2,2,4
27,2,1,1,1,3,3,1,2,4,4,4,2,2,4,4,0,4,2,0,3,0,1,4,1,4,2,1,2
